"GEO_ID","NAME","B27015_001E","B27015_001EA","B27015_001M","B27015_001MA","B27015_002E","B27015_002EA","B27015_002M","B27015_002MA","B27015_003E","B27015_003EA","B27015_003M","B27015_003MA","B27015_004E","B27015_004EA","B27015_004M","B27015_004MA","B27015_005E","B27015_005EA","B27015_005M","B27015_005MA","B27015_006E","B27015_006EA","B27015_006M","B27015_006MA","B27015_007E","B27015_007EA","B27015_007M","B27015_007MA","B27015_008E","B27015_008M","B27015_008MA","B27015_008EA","B27015_009E","B27015_009EA","B27015_009M","B27015_009MA","B27015_010E","B27015_010EA","B27015_010M","B27015_010MA","B27015_011E","B27015_011EA","B27015_011M","B27015_011MA","B27015_012E","B27015_012EA","B27015_012M","B27015_012MA","B27015_013E","B27015_013EA","B27015_013M","B27015_013MA","B27015_014E","B27015_014EA","B27015_014M","B27015_014MA","B27015_015E","B27015_015EA","B27015_015M","B27015_015MA","B27015_016E","B27015_016EA","B27015_016M","B27015_016MA","B27015_017E","B27015_017EA","B27015_017M","B27015_017MA","B27015_018E","B27015_018EA","B27015_018M","B27015_018MA","B27015_019E","B27015_019EA","B27015_019M","B27015_019MA","B27015_020E","B27015_020EA","B27015_020M","B27015_020MA","B27015_021E","B27015_021EA","B27015_021M","B27015_021MA","B27015_022E","B27015_022EA","B27015_022M","B27015_022MA","B27015_023E","B27015_023EA","B27015_023M","B27015_023MA","B27015_024E","B27015_024EA","B27015_024M","B27015_024MA","B27015_025E","B27015_025EA","B27015_025M","B27015_025MA","B27015_026E","B27015_026EA","B27015_026M","B27015_026MA",
"0500000US47149","Rutherford County, Tennessee","310568","null","447","null","30134","null","2120","null","25600","null","1928","null","11808","null","1194","null","16776","null","1712","null","4534","null","708","null","57833","null","3163","null","50462","2772","null","null","34583","null","2447","null","23076","null","1821","null","7371","null","995","null","63443","null","3393","null","57488","null","3152","null","48851","null","3113","null","15293","null","1196","null","5955","null","1046","null","57446","null","2861","null","53599","null","2711","null","47856","null","2500","null","10671","null","1240","null","3847","null","772","null","101712","null","3191","null","96800","null","3093","null","90353","null","2870","null","14175","null","1135","null","4912","null","798","null",
"0500000US47151","Scott County, Tennessee","21611","null","86","null","6043","null","757","null","5326","null","679","null","1107","null","268","null","5042","null","669","null","717","null","220","null","5002","null","833","null","4307","684","null","null","2247","null","382","null","2895","null","544","null","695","null","224","null","5619","null","996","null","5277","null","945","null","3980","null","748","null","1911","null","531","null","342","null","129","null","1890","null","511","null","1698","null","452","null","1320","null","411","null","624","null","211","null","192","null","139","null","3057","null","707","null","2755","null","614","null","2398","null","530","null","615","null","285","null","302","null","210","null",
"0500000US47153","Sequatchie County, Tennessee","14579","null","77","null","3334","null","600","null","2611","null","468","null","483","null","152","null","2372","null","444","null","723","null","346","null","3069","null","690","null","2599","556","null","null","1546","null","414","null","1585","null","357","null","470","null","283","null","2834","null","601","null","2653","null","564","null","2108","null","455","null","1222","null","368","null","181","null","103","null","2936","null","676","null","2682","null","589","null","2097","null","464","null","878","null","327","null","254","null","148","null","2406","null","515","null","2348","null","504","null","2164","null","510","null","641","null","167","null","58","null","49","null",
"0500000US47155","Sevier County, Tennessee","95774","null","325","null","15262","null","1238","null","11917","null","1073","null","4298","null","588","null","9537","null","999","null","3345","null","497","null","25698","null","1919","null","20586","1544","null","null","10874","null","866","null","12966","null","1413","null","5112","null","708","null","22789","null","2023","null","19635","null","1705","null","14143","null","1236","null","8530","null","1145","null","3154","null","702","null","14512","null","1673","null","12688","null","1464","null","10338","null","1313","null","4727","null","922","null","1824","null","739","null","17513","null","1947","null","16394","null","1764","null","14142","null","1471","null","4600","null","984","null","1119","null","432","null",
"0500000US47157","Shelby County, Tennessee","917393","null","1012","null","185971","null","5151","null","153512","null","4592","null","52618","null","2511","null","119906","null","3837","null","32459","null","1990","null","200230","null","6243","null","167735","5080","null","null","101699","null","3577","null","88912","null","3745","null","32495","null","2509","null","157283","null","5557","null","138408","null","5309","null","107543","null","4301","null","49362","null","3187","null","18875","null","1804","null","114518","null","5011","null","103668","null","4415","null","88702","null","4000","null","28186","null","2076","null","10850","null","1473","null","259391","null","5679","null","248492","null","5595","null","229493","null","5494","null","44182","null","2306","null","10899","null","1349","null",
"0500000US47159","Smith County, Tennessee","19541","null","119","null","3683","null","582","null","3293","null","552","null","887","null","212","null","2842","null","519","null","390","null","172","null","5228","null","574","null","4795","543","null","null","2976","null","418","null","2700","null","436","null","433","null","129","null","3152","null","503","null","2920","null","468","null","2392","null","376","null","899","null","245","null","232","null","99","null","2708","null","465","null","2482","null","414","null","2086","null","347","null","646","null","197","null","226","null","150","null","4770","null","676","null","4575","null","647","null","3950","null","585","null","1126","null","336","null","195","null","104","null",
"0500000US47161","Stewart County, Tennessee","13218","null","123","null","2238","null","360","null","1901","null","316","null","646","null","172","null","1674","null","300","null","337","null","149","null","3376","null","581","null","3198","568","null","null","1787","null","343","null","2148","null","453","null","178","null","166","null","2970","null","576","null","2641","null","549","null","2434","null","544","null","714","null","223","null","329","null","167","null","1856","null","504","null","1850","null","505","null","1384","null","361","null","772","null","343","null","6","null","9","null","2778","null","653","null","2589","null","623","null","2328","null","588","null","549","null","219","null","189","null","136","null",
"0500000US47163","Sullivan County, Tennessee","154310","null","334","null","29390","null","1369","null","25560","null","1228","null","7528","null","558","null","22479","null","1120","null","3830","null","513","null","39358","null","1821","null","34992","1762","null","null","21175","null","1343","null","21760","null","1376","null","4366","null","586","null","31418","null","1930","null","29038","null","1826","null","22480","null","1462","null","12013","null","1109","null","2380","null","396","null","20738","null","1342","null","19585","null","1298","null","16900","null","1269","null","6089","null","595","null","1153","null","264","null","33406","null","1832","null","32396","null","1773","null","29240","null","1652","null","7487","null","736","null","1010","null","312","null",
"0500000US47165","Sumner County, Tennessee","181733","null","299","null","17073","null","1293","null","14627","null","1054","null","5965","null","712","null","11304","null","941","null","2446","null","464","null","33260","null","2210","null","29005","1859","null","null","16735","null","1151","null","17422","null","1438","null","4255","null","738","null","35065","null","2070","null","31344","null","1837","null","24334","null","1669","null","10671","null","1096","null","3721","null","688","null","29896","null","2154","null","27658","null","2022","null","24103","null","1749","null","6774","null","802","null","2238","null","600","null","66439","null","2692","null","63666","null","2503","null","58275","null","2283","null","10938","null","967","null","2773","null","574","null",
"0500000US47167","Tipton County, Tennessee","60450","null","214","null","7601","null","955","null","6311","null","863","null","2035","null","472","null","5292","null","801","null","1290","null","304","null","12510","null","1280","null","10772","1168","null","null","6763","null","852","null","5994","null","827","null","1738","null","361","null","11962","null","1366","null","10976","null","1331","null","8461","null","1060","null","4527","null","895","null","986","null","300","null","9339","null","1213","null","8635","null","1108","null","7821","null","1004","null","2237","null","419","null","704","null","309","null","19038","null","1509","null","18225","null","1413","null","17110","null","1393","null","2996","null","435","null","813","null","320","null",
