county_fips_code,cases,countypop,caseperpop
47001,543,75129,0.007227568582038893
47003,324,45058,0.0071907319454924765
47009,795,122983,0.00646430807509981
47011,506,98963,0.005113022038539656
47013,264,40716,0.006483937518420277
47017,111,28522,0.0038917326975667905
47019,428,57424,0.007453329618278072
47021,226,39105,0.005779312108426033
47025,172,32213,0.005339459224536678
47029,202,35658,0.005664927926412025
47031,324,52782,0.006138456291917699
47035,466,56053,0.008313560380354308
47037,3153,626681,0.005031267901851181
47041,95,18723,0.00507397318805747
47043,300,49666,0.006040349534893086
47045,122,38335,0.0031824703273770705
47047,166,38413,0.004321453674537266
47051,230,41052,0.005602650297184059
47053,164,49679,0.0033011936633185047
47055,112,29485,0.0037985416313379683
47057,158,22657,0.006973562254490886
47059,658,68831,0.009559646089697955
47063,347,62544,0.005548094141724226
47065,1641,336460,0.004877251382036498
47069,56,27253,0.0020548196528822516
47071,157,26026,0.006032429109352186
47073,589,56833,0.010363697147783858
47077,150,27769,0.005401706939392848
47079,110,32330,0.0034024126198577173
47081,171,24690,0.0069258809234507895
47089,286,51407,0.0055634446670686875
47093,2407,432226,0.0055688459278247955
47097,58,27815,0.002085205824195578
47099,207,41869,0.004943991974969548
47103,149,33361,0.004466292976829231
47105,319,48556,0.006569733915479035
47107,223,52266,0.004266636054031301
47109,153,26075,0.005867689357622243
47111,119,22248,0.005348795397339087
47113,329,98294,0.003347101552485401
47115,111,28237,0.003931012501328044
47117,153,30617,0.004997223764575236
47119,488,80956,0.006027965808587381
47123,246,44519,0.005525730586940407
47125,836,172331,0.00485112951239185
47129,115,21987,0.005230363396552508
47131,272,31807,0.0085515766969535
47133,121,22083,0.00547932798985645
47141,408,72321,0.005641514912680964
47143,167,31809,0.005250086453519444
47145,328,54181,0.006053782691349366
47147,355,66283,0.005355822759983706
47149,1990,262604,0.007577950069305875
47151,424,22228,0.019075040489472738
47155,630,89888,0.007008721965112139
47157,3450,927641,0.0037191111647717164
47159,89,19166,0.004643639778774914
47163,1795,156823,0.01144602513661899
47165,1015,160645,0.00631827943602353
47167,355,61081,0.005811954617638873
47177,210,39839,0.005271216647004192
47179,1541,122979,0.012530594654371884
47183,185,35021,0.005282544758858971
47185,144,25841,0.005572539762393096
47187,1374,183182,0.0075007369719732285
47189,730,113993,0.006403901993982087
